"time","close","high","low","open","volumefrom","volumeto"
"2010-07-16",0.04951,0.04951,0.04951,0.04951,20,0.9902
"2010-07-17",0.08584,0.08585,0.05941,0.04951,75.01,5.09
"2010-07-18",0.0808,0.09307,0.07723,0.08584,574,49.66
"2010-07-19",0.07474,0.08181,0.07426,0.0808,262,20.59
"2010-07-20",0.07921,0.07921,0.06634,0.07474,575,42.26
"2010-07-21",0.0505,0.08181,0.0505,0.07921,2160,129.78
"2010-07-22",0.06262,0.06767,0.0505,0.0505,2402.5,141.07
"2010-07-23",0.05454,0.06161,0.05049,0.06262,496.32,26.73
"2010-07-24",0.0505,0.05941,0.0505,0.05454,1551.48,85.06
"2010-07-25",0.056,0.056,0.05,0.0505,877,46.91
"2010-07-26",0.06,0.0605,0.053,0.056,3373.69,196.92
"2010-07-27",0.0589,0.062,0.054,0.06,4390.29,255.76
"2010-07-28",0.0699,0.0699,0.0571,0.0589,8058.49,528.32
"2010-07-29",0.0627,0.0698,0.0582,0.0699,3020.85,198.53
"2010-07-30",0.06785,0.06889,0.056,0.0627,4022.25,243.9
"2010-07-31",0.0611,0.065,0.06,0.06785,2601,162.65
"2010-08-01",0.06,0.0633,0.06,0.0611,3599,221.2
"2010-08-02",0.06,0.065,0.059,0.06,9821.46,606.05
"2010-08-03",0.057,0.06231,0.057,0.06,3494,210.77
"2010-08-04",0.061,0.061,0.058,0.057,5034.07,303.61
"2010-08-05",0.0623,0.0624,0.0607,0.061,1395,85.91
"2010-08-06",0.059,0.0622,0.059,0.0623,2619,157.34
"2010-08-07",0.0609,0.061,0.059,0.059,2201,132.6
"2010-08-08",0.071,0.0735,0.0593,0.0609,13631.09,886.93
"2010-08-09",0.07,0.0709,0.06651,0.071,1310.39,88.87
"2010-08-10",0.067,0.07541,0.06,0.07,14061.18,1015.64
"2010-08-11",0.07,0.07,0.06141,0.067,2062.31,134.49
"2010-08-12",0.0645,0.068,0.0645,0.07,3591.77,233.8
"2010-08-13",0.067,0.0695,0.0645,0.0645,4404.2,295.31
